Template,Query,Aligned length,RMSD,SeqID,TMScore
6XQI_A,g006,38,2.68,0.053,0.37597
6XQI_A,g014,40,2.58,0.050,0.42295
6XQI_A,g045,52,3.61,0.096,0.47724
6XQI_A,g047,38,3.27,0.026,0.39106
6XQI_A,g048,51,3.63,0.098,0.47233
6XQI_A,g049,41,2.68,0.122,0.41505
6XQI_A,g055,34,2.60,0.059,0.37453
6XQI_A,g056,42,3.52,0.048,0.36842
6XQI_A,g057,55,3.70,0.018,0.48253
6XQI_A,g059,57,3.70,0.053,0.55501
6XQI_A,g060,43,3.17,0.047,0.44697
6XQI_A,g061,50,3.55,0.060,0.47481
6XQI_A,g062,26,2.10,0.000,0.34595
6XQI_A,g064,31,2.18,0.032,0.35706
6XQI_A,g065,34,3.13,0.088,0.33539
6XQI_A,g067,24,1.46,0.083,0.35382
6XQI_A,g068,34,2.36,0.000,0.40880
6XQI_A,g069,41,3.00,0.024,0.43845
6XQI_A,g070,43,3.28,0.070,0.43512
6XQI_A,g071,31,2.76,0.032,0.35826
6XQI_A,g072,39,3.18,0.051,0.41382
6XQI_A,g076,41,3.90,0.049,0.33593
6XQI_A,g077,31,2.86,0.129,0.35439
6XQI_A,g078,54,3.29,0.037,0.52394
6XQI_A,g079,41,3.60,0.073,0.34827
6XQI_A,g082,34,2.88,0.029,0.33924
6XQI_A,g084,44,3.98,0.091,0.36313
6XQI_A,g085,56,3.91,0.089,0.40416
6XQI_A,g086,41,3.23,0.024,0.38235
6XQI_A,g087,60,3.40,0.050,0.51735
6XQI_A,g089,51,3.14,0.137,0.51590
6XQI_A,g092,44,3.35,0.114,0.41962
6XQI_A,g093,48,3.65,0.062,0.40382
6XQI_A,g094,45,3.86,0.022,0.37815
6XQI_A,g095,45,3.13,0.133,0.43883
6XQI_A,g096,53,3.50,0.075,0.46261
6XQI_A,g097,47,3.95,0.021,0.42374
6XQI_A,g098,44,3.71,0.091,0.38212
6XQI_A,g100,40,2.84,0.125,0.40182
6XQI_A,g101,38,3.44,0.079,0.41507
6XQI_A,g102,56,3.30,0.054,0.57498
6XQI_A,g103,29,2.31,0.138,0.35187
6XQI_A,g106,23,1.41,0.000,0.34671
6XQI_A,g107,38,3.82,0.000,0.36601
6XQI_A,g112,39,2.67,0.051,0.41512
6XQI_A,g117,26,2.23,0.000,0.32298
6XQI_A,g119,46,2.84,0.065,0.49588
6XQI_A,g121,47,3.57,0.149,0.45301
6XQI_A,g122,42,3.40,0.048,0.42508
6XQI_A,g124,55,3.43,0.073,0.52053
6XQI_A,g128,53,3.69,0.019,0.49350
6XQI_A,g130,43,3.32,0.070,0.38139
6XQI_A,g131,37,3.11,0.054,0.40457
6XQI_A,g132,36,3.20,0.028,0.31075
6XQI_A,g133,36,3.49,0.028,0.35333
6XQI_A,g134,34,2.75,0.088,0.37847
6XQI_A,g135,55,3.50,0.055,0.47609
6XQI_A,g142,36,3.88,0.083,0.29279
6XQI_A,g143,37,3.46,0.135,0.37534
6XQI_A,g144,55,3.60,0.127,0.51104
6XQI_A,g145,48,3.89,0.062,0.43559
6XQI_A,g146,49,3.65,0.082,0.41080
6XQI_A,g147,43,3.05,0.023,0.45215
6XQI_A,g149,44,2.50,0.045,0.48970
6XQI_A,g150,47,3.74,0.043,0.44584
6XQI_A,g151,50,3.92,0.080,0.42051
6XQI_A,g153,49,3.82,0.122,0.45442
6XQI_A,g154,57,3.36,0.088,0.53085
6XQI_A,g155,45,2.71,0.022,0.49627
6XQI_A,g156,44,2.91,0.023,0.47980
6XQI_A,g158,43,2.89,0.023,0.46213
6XQI_A,g160,55,3.29,0.091,0.49832
6XQI_A,g162,47,3.54,0.064,0.44204
6XQI_A,g163,51,2.76,0.098,0.50781
6XQI_A,g164,46,2.87,0.065,0.42555
6XQI_A,g165,20,1.57,0.100,0.30188
6XQI_A,g166,21,1.31,0.143,0.31730
6XQI_A,g167,57,3.74,0.088,0.50857
6XQI_A,g169,46,3.30,0.065,0.45122
6XQI_A,g170,48,3.44,0.000,0.47674
6XQI_A,g171,44,3.45,0.068,0.39951
6XQI_A,g172,40,3.08,0.100,0.42969
6XQI_A,g173,41,2.82,0.098,0.48127
6XQI_A,g174,51,3.50,0.118,0.51444
6XQI_A,g176,41,3.69,0.000,0.42117
6XQI_A,g177,49,3.40,0.020,0.46222
6XQI_A,g178,56,3.22,0.071,0.53674
6XQI_A,g179,50,4.17,0.020,0.35302
6XQI_A,g180,33,2.43,0.061,0.39132
6XQI_A,g181,21,3.64,0.000,0.17402
6XQI_A,g187,35,3.13,0.057,0.38770
6XQI_A,g188,22,1.46,0.227,0.31483
6XQI_A,g189,42,3.90,0.119,0.38926
6XQI_A,g190,46,4.26,0.043,0.43686
6XQI_A,g191,56,3.30,0.054,0.47142
6XQI_A,g192,50,3.20,0.020,0.41500
6XQI_A,g194,53,3.68,0.038,0.49044
6XQI_A,g195,46,2.51,0.022,0.52128
6XQI_A,g196,52,3.79,0.077,0.46986
6XQI_A,g197,42,3.93,0.024,0.42940
6XQI_A,g199,50,3.04,0.120,0.50885
6XQI_A,g201,30,2.77,0.033,0.36903
6XQI_A,g202,54,3.62,0.111,0.41323
6XQI_A,g203,52,3.81,0.019,0.41788
6XQI_A,g204,56,3.82,0.036,0.44537
6XQI_A,g205,54,2.99,0.167,0.50959
6XQI_A,g206,48,3.59,0.021,0.45735
6XQI_A,g207,43,3.14,0.047,0.42252
6XQI_A,g208,43,3.27,0.093,0.41597
6XQI_A,g210,43,3.05,0.093,0.47501
6XQI_A,g211,47,3.34,0.149,0.46214
6XQI_A,g212,37,3.53,0.000,0.37817
6XQI_A,g213,47,3.52,0.085,0.48007
6XQI_A,g214,36,3.22,0.111,0.36538
6XQI_A,g215,43,3.07,0.047,0.44617
6XQI_A,g216,44,3.27,0.091,0.46909
6XQI_A,g217,25,1.37,0.040,0.36599
6XQI_A,g218,51,3.05,0.059,0.51682
6XQI_A,g219,38,4.06,0.079,0.32875
6XQI_A,g224,39,4.20,0.077,0.30643
6XQI_A,g225,47,3.32,0.085,0.42401
6XQI_A,g227,30,3.89,0.100,0.26365
6XQI_A,g228,35,3.27,0.029,0.36914
6XQI_A,g229,44,3.26,0.068,0.45847
6XQI_A,g230,52,3.77,0.077,0.44363
6XQI_A,g231,44,2.44,0.023,0.47348
6XQI_A,g232,22,2.35,0.091,0.27635
6XQI_A,g233,44,4.08,0.045,0.34464
6XQI_A,g234,53,3.42,0.038,0.51668
6XQI_A,g235,29,2.75,0.069,0.37625
6XQI_A,g236,30,2.85,0.067,0.36676
6XQI_A,g237,50,3.96,0.040,0.42575
6XQI_A,g239,42,2.87,0.095,0.48557
6XQI_A,g240,44,3.28,0.045,0.45788
6XQI_A,g241,45,4.10,0.044,0.40218
6XQI_A,g242,35,2.94,0.086,0.41082
6XQI_A,g243,46,3.00,0.043,0.51275
6XQI_A,g244,51,3.90,0.039,0.45522
6XQI_A,g246,37,3.04,0.162,0.36670
6XQI_A,g247,45,3.73,0.044,0.42779
6XQI_A,g250,45,3.33,0.044,0.43746
6XQI_A,g251,40,4.63,0.050,0.29001
6XQI_A,g252,33,3.57,0.091,0.31739
6XQI_A,g253,42,3.50,0.000,0.39403
6XQI_A,g261,38,2.61,0.026,0.43474
6XQI_A,g262,48,3.55,0.042,0.45975
6XQI_A,g263,40,3.69,0.100,0.36632
6XQI_A,g264,31,2.91,0.065,0.34794
6XQI_A,g265,52,3.08,0.058,0.45077
6XQI_A,g266,48,4.07,0.125,0.38467
6XQI_A,g267,48,3.78,0.042,0.44280
6XQI_A,g269,34,3.36,0.059,0.29729
6XQI_A,g270,58,3.74,0.069,0.50221
6XQI_A,g271,38,3.61,0.079,0.38022
6XQI_A,g272,51,3.97,0.059,0.41355
6XQI_A,g273,38,2.69,0.079,0.44727
6XQI_A,g274,49,3.64,0.082,0.44251
6XQI_A,g275,46,3.23,0.065,0.42642
6XQI_A,g276,48,3.79,0.021,0.39722
6XQI_A,g277,40,2.80,0.025,0.42981
6XQI_A,g278,42,3.20,0.048,0.41743
6XQI_A,g279,29,3.45,0.103,0.29270
6XQI_A,g280,54,3.87,0.148,0.46090
6XQI_A,g281,46,3.13,0.087,0.48343
6XQI_A,g282,39,2.99,0.103,0.39167
6XQI_A,g283,36,3.69,0.111,0.36238
6XQI_A,g284,43,3.34,0.047,0.44830
6XQI_A,g285,40,3.83,0.025,0.34587
6XQI_A,g286,45,4.24,0.044,0.40520
6XQI_A,g287,30,3.34,0.033,0.34412
6XQI_A,g289,52,3.14,0.019,0.51782
6XQI_A,g290,50,3.57,0.080,0.49172
6XQI_A,g291,41,3.27,0.098,0.42593
6XQI_A,g292,41,2.92,0.098,0.44338
6XQI_A,g293,43,3.12,0.047,0.46012
6XQI_A,g296,42,3.40,0.000,0.36132
6XQI_A,g297,31,2.90,0.161,0.36755
6XQI_A,g298,39,4.29,0.000,0.28495
6XQI_A,g299,37,3.12,0.108,0.40446
6XQI_A,g300,30,3.98,0.000,0.28941
6XQI_A,g301,40,2.95,0.075,0.45116
6XQI_A,g302,40,2.60,0.075,0.46307
6XQI_A,g303,49,3.83,0.122,0.37298
6XQI_A,g304,52,3.46,0.096,0.44194
6XQI_A,g305,44,2.70,0.068,0.50507
6XQI_A,g306,47,3.23,0.021,0.46659
6XQI_A,g307,41,3.21,0.073,0.38353
6XQI_A,g308,45,4.23,0.156,0.33657
6XQI_A,g309,37,3.14,0.027,0.39008
6XQI_A,g311,48,2.86,0.083,0.51024
6XQI_A,g312,24,0.75,0.000,0.36053
6XQI_A,g313,35,3.38,0.114,0.38507
6XQI_A,g314,47,3.49,0.000,0.40524
6XQI_A,g315,25,1.84,0.080,0.35489
6XQI_A,g316,31,2.53,0.032,0.35270
6XQI_A,g317,46,3.90,0.043,0.42936
6XQI_A,g326,44,3.10,0.068,0.44879
6XQI_A,g328,41,3.79,0.098,0.34902
6XQI_A,g329,42,3.57,0.119,0.38496
6XQI_A,g331,51,3.26,0.039,0.52312
