Template,Query,Aligned length,RMSD,SeqID,TMScore
1UDG_A,g006,215,1.55,0.442,0.89054
1UDG_A,g014,215,1.55,0.442,0.89059
1UDG_A,g045,215,1.56,0.442,0.89020
1UDG_A,g047,215,1.58,0.442,0.88970
1UDG_A,g048,215,1.54,0.442,0.89068
1UDG_A,g049,215,1.58,0.442,0.88885
1UDG_A,g055,215,1.54,0.442,0.89119
1UDG_A,g056,215,1.57,0.442,0.88966
1UDG_A,g057,215,1.54,0.442,0.89124
1UDG_A,g059,215,1.55,0.442,0.89102
1UDG_A,g060,215,1.55,0.442,0.89096
1UDG_A,g062,215,1.57,0.442,0.88993
1UDG_A,g064,215,1.54,0.442,0.89136
1UDG_A,g065,215,1.58,0.442,0.88986
1UDG_A,g067,215,1.57,0.442,0.89021
1UDG_A,g068,215,1.58,0.442,0.89002
1UDG_A,g069,215,1.58,0.442,0.88915
1UDG_A,g071,215,1.58,0.442,0.88989
1UDG_A,g072,215,1.54,0.442,0.89086
1UDG_A,g076,215,1.57,0.442,0.88996
1UDG_A,g077,215,1.57,0.442,0.88984
1UDG_A,g078,215,1.55,0.442,0.89051
1UDG_A,g079,215,1.58,0.442,0.88883
1UDG_A,g082,215,1.54,0.442,0.89133
1UDG_A,g084,215,1.58,0.442,0.88944
1UDG_A,g085,215,1.55,0.442,0.89035
1UDG_A,g086,215,1.57,0.442,0.89002
1UDG_A,g087,215,1.55,0.442,0.88984
1UDG_A,g088,215,1.56,0.442,0.89033
1UDG_A,g089,215,1.55,0.442,0.88992
1UDG_A,g092,215,1.56,0.442,0.89069
1UDG_A,g093,215,1.56,0.442,0.89077
1UDG_A,g094,215,1.55,0.442,0.89047
1UDG_A,g095,215,1.57,0.442,0.88965
1UDG_A,g096,215,1.58,0.442,0.88916
1UDG_A,g097,215,1.65,0.442,0.88254
1UDG_A,g098,215,1.55,0.442,0.89057
1UDG_A,g100,215,1.54,0.442,0.89074
1UDG_A,g101,215,1.54,0.442,0.89062
1UDG_A,g102,215,1.55,0.442,0.89088
1UDG_A,g103,215,1.58,0.442,0.88946
1UDG_A,g106,215,1.55,0.442,0.89054
1UDG_A,g107,215,1.58,0.442,0.88952
1UDG_A,g109,215,1.56,0.442,0.89006
1UDG_A,g112,215,1.58,0.442,0.88985
1UDG_A,g117,215,1.55,0.442,0.89066
1UDG_A,g119,215,1.55,0.442,0.89081
1UDG_A,g121,215,1.59,0.442,0.88824
1UDG_A,g122,215,1.57,0.442,0.89008
1UDG_A,g124,215,1.55,0.442,0.89064
1UDG_A,g128,215,1.56,0.442,0.88952
1UDG_A,g129,215,1.54,0.442,0.89068
1UDG_A,g130,215,1.54,0.442,0.89060
1UDG_A,g131,215,1.58,0.442,0.88897
1UDG_A,g132,215,1.58,0.442,0.88959
1UDG_A,g133,215,1.58,0.442,0.88978
1UDG_A,g134,215,1.55,0.442,0.89045
1UDG_A,g135,215,1.57,0.442,0.88984
1UDG_A,g142,215,1.57,0.442,0.88980
1UDG_A,g143,215,1.57,0.442,0.89016
1UDG_A,g144,215,1.56,0.442,0.88962
1UDG_A,g145,215,1.61,0.442,0.88722
1UDG_A,g146,215,1.54,0.442,0.89108
1UDG_A,g147,215,1.55,0.442,0.89038
1UDG_A,g149,215,1.57,0.442,0.88948
1UDG_A,g150,215,1.57,0.442,0.88999
1UDG_A,g151,215,1.58,0.442,0.88888
1UDG_A,g153,215,1.58,0.442,0.88954
1UDG_A,g154,215,1.57,0.442,0.88990
1UDG_A,g155,215,1.58,0.442,0.88975
1UDG_A,g156,215,1.58,0.442,0.88965
1UDG_A,g158,215,1.58,0.442,0.88938
1UDG_A,g159,215,1.55,0.442,0.89036
1UDG_A,g162,215,1.55,0.442,0.89026
1UDG_A,g163,215,1.55,0.442,0.89056
1UDG_A,g164,215,1.54,0.442,0.89113
1UDG_A,g165,215,1.57,0.442,0.89038
1UDG_A,g166,215,1.56,0.442,0.89022
1UDG_A,g167,215,1.54,0.442,0.89115
1UDG_A,g169,215,1.55,0.442,0.89025
1UDG_A,g170,215,1.57,0.442,0.88858
1UDG_A,g171,215,1.58,0.442,0.88898
1UDG_A,g172,215,1.58,0.442,0.88981
1UDG_A,g173,215,1.54,0.442,0.89116
1UDG_A,g174,215,1.55,0.442,0.89038
1UDG_A,g176,215,1.55,0.442,0.89013
1UDG_A,g177,215,1.55,0.442,0.89000
1UDG_A,g178,215,1.54,0.442,0.89096
1UDG_A,g179,215,1.58,0.442,0.88894
1UDG_A,g180,215,1.56,0.442,0.89032
1UDG_A,g181,215,1.55,0.442,0.89099
1UDG_A,g187,215,1.58,0.442,0.88901
1UDG_A,g188,215,1.56,0.442,0.89032
1UDG_A,g189,215,1.57,0.442,0.88978
1UDG_A,g190,215,1.56,0.442,0.88923
1UDG_A,g191,215,1.55,0.442,0.88988
1UDG_A,g192,215,1.56,0.442,0.88840
1UDG_A,g194,215,1.52,0.442,0.89212
1UDG_A,g195,215,1.54,0.442,0.89119
1UDG_A,g197,215,1.58,0.442,0.88933
1UDG_A,g199,215,1.58,0.442,0.88917
1UDG_A,g200,215,1.57,0.442,0.89017
1UDG_A,g201,215,1.56,0.442,0.89028
1UDG_A,g202,215,1.55,0.442,0.89015
1UDG_A,g203,215,1.54,0.442,0.89125
1UDG_A,g204,215,1.54,0.442,0.88984
1UDG_A,g205,215,1.54,0.442,0.89094
1UDG_A,g206,215,1.55,0.442,0.89058
1UDG_A,g208,215,1.54,0.442,0.89129
1UDG_A,g210,215,1.55,0.442,0.89025
1UDG_A,g211,215,1.58,0.442,0.88903
1UDG_A,g212,215,1.55,0.442,0.89036
1UDG_A,g213,215,1.57,0.442,0.88986
1UDG_A,g214,215,1.55,0.442,0.89069
1UDG_A,g215,215,1.57,0.442,0.89032
1UDG_A,g216,215,1.57,0.442,0.89010
1UDG_A,g217,215,1.57,0.442,0.89016
1UDG_A,g218,215,1.53,0.442,0.89138
1UDG_A,g219,215,1.58,0.442,0.88967
1UDG_A,g224,215,1.57,0.442,0.89045
1UDG_A,g225,215,1.55,0.442,0.89077
1UDG_A,g227,215,1.54,0.442,0.89093
1UDG_A,g228,215,1.56,0.442,0.89025
1UDG_A,g229,215,1.55,0.442,0.89072
1UDG_A,g230,215,1.57,0.442,0.88956
1UDG_A,g231,215,1.55,0.442,0.89044
1UDG_A,g232,215,1.55,0.442,0.89144
1UDG_A,g233,215,1.55,0.442,0.89026
1UDG_A,g235,215,1.58,0.442,0.88949
1UDG_A,g236,215,1.57,0.442,0.89005
1UDG_A,g237,215,1.57,0.442,0.88953
1UDG_A,g239,215,1.54,0.442,0.89061
1UDG_A,g240,215,1.55,0.442,0.89026
1UDG_A,g241,215,1.58,0.442,0.88937
1UDG_A,g242,215,1.56,0.442,0.89049
1UDG_A,g243,215,1.54,0.442,0.89023
1UDG_A,g244,215,1.55,0.442,0.88959
1UDG_A,g246,215,1.54,0.442,0.89093
1UDG_A,g247,215,1.56,0.442,0.89031
1UDG_A,g249,215,1.54,0.442,0.89125
1UDG_A,g250,215,1.55,0.442,0.89015
1UDG_A,g251,215,1.54,0.442,0.89117
1UDG_A,g252,215,1.56,0.442,0.88986
1UDG_A,g253,215,1.54,0.442,0.89117
1UDG_A,g261,215,1.51,0.442,0.89292
1UDG_A,g262,215,1.57,0.442,0.89013
1UDG_A,g263,215,1.55,0.442,0.89064
1UDG_A,g264,215,1.55,0.442,0.89052
1UDG_A,g265,215,1.57,0.442,0.89017
1UDG_A,g266,215,1.57,0.442,0.88957
1UDG_A,g267,215,1.59,0.442,0.88771
1UDG_A,g269,215,1.58,0.442,0.88969
1UDG_A,g270,215,1.55,0.442,0.89045
1UDG_A,g271,215,1.56,0.442,0.88953
1UDG_A,g272,215,1.55,0.442,0.89018
1UDG_A,g273,215,1.54,0.442,0.89090
1UDG_A,g274,215,1.55,0.442,0.89028
1UDG_A,g275,215,1.58,0.442,0.88946
1UDG_A,g276,215,1.55,0.442,0.89166
1UDG_A,g277,215,1.54,0.442,0.89131
1UDG_A,g278,215,1.54,0.442,0.89066
1UDG_A,g279,215,1.55,0.442,0.89028
1UDG_A,g280,215,1.58,0.442,0.88902
1UDG_A,g281,215,1.57,0.442,0.89015
1UDG_A,g282,215,1.55,0.442,0.89093
1UDG_A,g283,215,1.55,0.442,0.89046
1UDG_A,g284,215,1.58,0.442,0.88952
1UDG_A,g285,215,1.57,0.442,0.88974
1UDG_A,g286,215,1.59,0.442,0.88857
1UDG_A,g287,215,1.57,0.442,0.88978
1UDG_A,g288,215,1.55,0.442,0.89070
1UDG_A,g289,215,1.59,0.442,0.88885
1UDG_A,g290,215,1.56,0.442,0.89052
1UDG_A,g291,215,1.55,0.442,0.89045
1UDG_A,g292,215,1.54,0.442,0.89073
1UDG_A,g293,215,1.58,0.442,0.88969
1UDG_A,g297,215,1.59,0.442,0.88866
1UDG_A,g298,215,1.55,0.442,0.88966
1UDG_A,g299,215,1.58,0.442,0.88956
1UDG_A,g300,215,1.56,0.442,0.88909
1UDG_A,g301,215,1.58,0.442,0.88949
1UDG_A,g302,215,1.57,0.442,0.89010
1UDG_A,g303,215,1.55,0.442,0.89089
1UDG_A,g304,215,1.56,0.442,0.88954
1UDG_A,g305,215,1.56,0.442,0.88874
1UDG_A,g306,215,1.57,0.442,0.89021
1UDG_A,g307,215,1.56,0.442,0.89056
